#Name cmbcz Bmax Berr color colorerr stretch
SN1997dt 1828.73 15.4510903874 0.0122186920824 0.558888295204 0.00872071167358 0.905252521354
SN1998V 5156.43 15.0421358197 0.00506869907502 0.0356043447732 0.00420234228338 0.969468739031
SN1998aq 1289.11 12.243658576 0.00245796093559 -0.123606020414 0.00187257795721 0.921641250948
SN1998bp 3057.88 15.336928442 0.00580035207302 0.269760267146 0.00498288316526 0.740277571704
SN1998de 4676.76 17.4338755027 0.00913642296322 0.59363590226 0.00754198844828 0.806690414548
SN1998dh 2308.4 13.8504663291 0.00783728295548 0.130076452486 0.00526898518299 0.897635115855
SN1998ec 6025.83 16.0473764649 0.0170087602485 0.17447175937 0.0106185951052 0.980225856326
SN1998eg 7045.12 16.0695668074 0.00846589870563 0.039402021229 0.00864915290852 0.91007580467
SN1998es 2878.01 13.7947224077 0.00618829624412 0.068365969609 0.00549307185917 1.04724281593
SN1999aa 4586.82 14.6920438159 0.00399730097351 -0.038916600123 0.00301304357147 1.04612753343
SN1999ac 2937.97 14.1205971267 0.00400471482002 0.112005341419 0.00344139028718 0.988832811191
SN1999cc 9443.46 16.7656967325 0.00896821363323 0.0432226508695 0.0080552976379 0.814859812284
SN1999cl 2608.19 14.8267296544 0.0129300718297 1.19950972234 0.0111189587557 0.914804722627
SN1999dq 4047.2 14.3712620078 0.00396556386089 0.117014202107 0.00310540644441 1.0552499051
SN1999ej 3837.34 15.2902794869 0.0128534429927 0.0380911078877 0.00976628519035 0.830259756925
SN1999gd 5785.99 16.8566928117 0.00960781722495 0.469979518708 0.00779150833468 0.936618062969
SN1999gp 7794.6 15.9998157937 0.00437444657564 0.0615798644027 0.00390070941642 1.16323535226
SN2000cf 10942.4 16.9826942681 0.0113968420379 0.00974895840261 0.00953216854496 0.917289201003
SN2000cx 2068.57 13.0616122565 0.00846405687385 -0.067523517267 0.00764621420011 0.83384931623
SN2000dk 4946.58 15.3491759611 0.00443223348359 0.0667447089817 0.00377869850114 0.765549281355
SN2000fa 6535.48 15.7901321695 0.00618648506544 0.0766303951788 0.00476915336547 0.965791673523
