#SN    Z        mu            muerr          color           colorerr        stretch        stretcherr
2000fa 0.021793 34.9068683612 0.112360699426 0.0807392651704 0.0249321454078 0.959931023501 0.0332497669385
2000dk 0.01645 34.1798930736 0.134558887617 0.0529701934255 0.00840153306756 0.732377239015 0.0136569732824
2000cn 0.023208 35.1150556424 0.0960928429028 0.16581988091 0.00892125189811 0.72637765116 0.00995235786442
2000cf 0.036457 36.1149310907 0.0643915434118 0.0543095468562 0.0120041476831 0.879997456686 0.0222076086635
1999gd 0.019264 35.1568010025 0.119892384851 0.433063370394 0.0123764533973 0.923324754357 0.0343151824848
1999ek 0.017605 34.395291239 0.16770673268 0.165040702032 0.00587628674507 0.906130155862 0.0135180924894
1999cc 0.031528 35.7342212045 0.0775369105514 0.056423532056 0.0126726667026 0.820973923513 0.0166489530642
1998eg 0.023536 35.1885737799 0.102586261877 0.0538672944154 0.0108953091452 0.930533352856 0.0318789078399
1998ef 0.016743 33.887993879 0.135376595656 0.0174073791889 0.0138982683874 0.849623981828 0.0236700834933
1998dx 0.05371 36.4543176058 0.0692166952243 0.0783541161749 0.0255888578428 0.754616080465 0.044353177462
1998de 0.015581 34.866958861 0.148000932916 0.488416867843 0.0263797398795 0.574766766699 0.0134757177577
1998co 0.016991 34.2635641283 0.13181237769 0.106146809119 0.00523875137235 0.606603572055 0.0341801745089
1998ab 0.027865 35.0354519977 0.0852267299873 0.100386876205 0.0190610550785 0.928386888598 0.0226191360498
1998v 0.017173 34.1874959296 0.136911313352 0.0546589340274 0.0127586119003 0.925478628086 0.0336649263387
1997dg 0.029955 35.9602784547 0.0881523605491 0.0277159852189 0.0156608963158 0.915723451056 0.0401960618676
1997y 0.016559 34.3771086644 0.134936275859 0.0395170559765 0.00839925280432 0.881378926596 0.0180019151728
